Year,Facility_County,Receiving_County,Land_Application
2017,Alameda,Alameda,13610
2017,Alameda,Merced,1248
2017,Butte,Butte ,1178
2017,Contra Costa,Contra Costa,3045
2017,El Dorado,Merced,803
2017,El Dorado,Sacramento,240
2017,Fresno,Fresno,7007
2017,Humbolt,Humbolt,210
2017,Imperial,Yuma,1510
2017,Kern,Kern,135598
2017,Kings,Merced,661
2017,Kings,Kings,7344
2017,Los Angeles,Yuma,19748
2017,Los Angeles,Kern,38183
2017,Marin,Marin,262
2017,Merced,Merced,26631
2017,Napa,Napa,1132
2017,Orange,Yuma,23933
2017,Placer,Sacramento,1367
2017,Riverside,Riverside,1553
2017,Riverside,Yuma,13833
2017,Riverside,Other,590
2017,Sacramento,Sacramento,6045
2017,San Bernadino,Yuma,6497
2017,San Bernadino,San Bernadino,120504
2017,San Diego,Yuma,14406
2017,San Diego,San Diego,415
2017,San Francisco,San Francisco,5238
2017,San Joaquin,San Joaquin,316
2017,San Joaquin,Sacramento,3813
2017,Santa Barbara,Santa Barbara,4867
2017,Santa Clara,Santa Clara,2324
2017,Santa Cruz,Merced,10213
2017,Solano,Solano,3231
2017,Sonoma,Sonoma,1755
2017,Stanislaus,Stanislaus,2372
2017,Stanislaus,Merced,1481
2017,Tulare,Merced,2789
2017,Tulare,Tulare,1391
2017,Tuolomne,Sacramento,359
2017,Ventura,Ventura,2291
2016,Alameda,Merced,6258
2016,Alameda,Alameda,2943
2016,Contra Costa,Contra Costa,2762
2016,El Dorado,Merced,559
2016,El Dorado,Sacramento,210
2016,El Dorado,El Dorado,1380
2016,Fresno,Merced,8532
2016,Humbolt,Humbolt,1396
2016,Humbolt,Sacramento,128
2016,Imperial,Yuma,3892
2016,Kern,Kern,83617
2016,Kings,Kings,4347
2016,Los Angeles,Yuma,12853
2016,Los Angeles,Kern,29751
2016,Madera,Merced,211
2016,Marin,Marin,211
2016,Merced,Merced,14085
2016,Napa,Napa,1111
2016,Nevada,Sacramento,367
2016,Nevada,Nevada,558
2016,Orange,Yuma,26901
2016,Placer,Sacramento,1371
2016,Riverside,Riverside,269
2016,Riverside,Yuma,13346
2016,Sacramento,Sacramento,5469
2016,San Bernadino,Yuma,1551
2016,San Bernadino,San Bernadino,101945
2016,San Diego,Yuma,13110
2016,San Diego,San Diego,463
2016,San Francisco,San Francisco,5613
2016,San Joaquin,San Joaquin,963
2016,San Joaquin,Sacramento,5041
2016,San Joaquin,Merced,1639
2016,San Mateo,San Mateo,3557
2016,Santa Barbara,Santa Barbara,4726
2016,Santa Clara,Sacramento,2094
2016,Santa Cruz,Merced,2304
2016,Solano,Solano,3486
2016,Sonoma,Sonoma,3061
2016,Stanislaus,Sacramento,146
2016,Stanislaus,Merced,2452
2016,Stanislaus,Stanislaus,2976
2016,Tulare,Merced,802
2016,Tulare,Tulare,1119
2016,Tuolomne,Sacramento,501
2016,Ventura,Ventura,1584
